Qty;Value;Device;Package
1;;DO41.3;DO41-3
1;;LDR1;LDR1
3;100k;R-US_0204/7;0204/7
6;100n;C-EU050-025X075;C050-025X075
1;100p;C-EU050-025X075;C050-025X075
2;100u;CPOL-USE2.5-6;E2,5-6
8;10k;R-US_0204/7;0204/7
2;10n;C-EU050-025X075;C050-025X075
1;10u;CPOL-USE2.5-6;E2,5-6
1;120R;R-US_0204/7;0204/7
1;1M;R-US_0204/7;0204/7
3;1k;R-US_0204/7;0204/7
1;1k8;R-US_0204/7;0204/7
3;1u;C-EU050-055X075;C050-055X075
4;220k;R-US_0204/7;0204/7
1;220p;C-EU050-025X075;C050-025X075
1;22k;R-US_0204/7;0204/7
1;2N5088;2N5088;TO92
1;2k2;R-US_0204/7;0204/7
1;470R;R-US_0204/7;0204/7
1;47R;R-US_0204/7;0204/7
2;47u;CPOL-USE2.5-6;E2,5-6
2;4k7;R-US_0204/7;0204/7
2;4n7;C-EU050-025X075;C050-025X075
1;4u7;CPOL-USE2.5-6;E2,5-6
1;820R;R-US_0204/7;0204/7
1;A1k;16MM.1;16MM_B.MOUNT
1;B100k;16MM.1;16MM_B.MOUNT
1;B10k;16MM.1;16MM_B.MOUNT
1;B1k;16MM.1;16MM_B.MOUNT
1;B500k;16MM.1;16MM_B.MOUNT
1;B50k;16MM.1;16MM_B.MOUNT
1;ES56033;ES56033;DIP16
3;LED.3;LED.3;3MM_2
1;LM4558N;LM4558N;DIL08
1;LM78L05;LM78L.;TO92
1;RLED;R-US_0204/7;0204/7
1;TLC2272;TL072P;DIL08
